Data Type,Target,Feature,Mean_Gradient,Std_Gradient
DTI,cbcl,P22,-0.0017500936633333332,0.0056711606799999675
DTI,cbcl,P23,-0.003205686896666633,0.0056348113633333
DTI,cbcl,P24,-0.0037059519333333332,0.006118369646666633
DTI,cbcl,P25,-0.00291914662,0.005976483550000001
DTI,cbcl,P26,0.0019351757399999666,0.005643179903333333
DTI,cbcl,P27,-0.004653788355999967,0.005423713356666633
DTI,cbcl,P28,-0.0018035691459999334,0.005545727259999966
DTI,cbcl,P29,-0.0006639897195333333,0.005624021189999933
DTI,cbcl,P3,-0.0010335884196666333,0.005487725516666633
DTI,cbcl,P30,-0.006788211099999966,0.005542324233333333
DTI,cbcl,P31,0.0003419440486133334,0.0056687891933333
DTI,cbcl,P32,0.005434801342333334,0.005672747389999966
DTI,cbcl,P33,-0.0017723496326666668,0.005517058299999967
DTI,cbcl,P34,0.0014826735076666666,0.005687581676666599
DTI,cbcl,P35,0.0063067387999999995,0.005599321776666667
DTI,cbcl,P36,0.0038324268593333,0.005610908929999967
DTI,cbcl,P37,-0.0016931326113333667,0.005468133319999967
DTI,cbcl,P38,0.003197001026666667,0.005532716696666666
DTI,cbcl,P39,-0.004696433112666634,0.005510968566666633
DTI,cbcl,P4,-0.0029365710706666334,0.0057510752299999674
DTI,cbcl,P40,-0.009990102953333267,0.00602990053
DTI,cbcl,P41,-0.0009866462613333,0.006019927613333333
DTI,cbcl,P42,0.0004357807183333,0.005530160393333333
DTI,cbcl,P43,-0.005543321258666666,0.005351026669999967
DTI,cbcl,P44,-0.008800352589999966,0.0057004205066666334
DTI,cbcl,P45,0.0035727603786666336,0.005639745353333333
DTI,cbcl,P46,-0.0037126512593333334,0.0057115542466666
DTI,cbcl,P47,0.004477992682666666,0.00570662845
DTI,cbcl,P48,-0.0005774548479999999,0.00554286676
DTI,cbcl,P49,-0.004035063098,0.0054370995866666666
DTI,cbcl,P5,-0.0040087376909999665,0.005653744739999966
DTI,cbcl,P50,-0.0013385752226666,0.005519500326666634
DTI,cbcl,P51,-0.0027984846733332667,0.005376744173333299
DTI,cbcl,P52,-0.0020115956633333,0.005526319726666666
DTI,cbcl,P53,0.008409635194666667,0.005616152553333333
DTI,cbcl,P54,0.000309354638,0.00588661483
DTI,cbcl,P55,-9.171769706666667e-05,0.0055623725933332995
DTI,cbcl,P56,-0.0011412339380000333,0.0056820973366666335
DTI,cbcl,P57,0.0007322386246667,0.0055740238766666325
DTI,cbcl,P58,0.0025885348413333333,0.005822251613333333
DTI,cbcl,P59,-0.0014656454509999666,0.0056131267733333
DTI,cbcl,P6,-0.0025379190646666666,0.005471967623333333
DTI,cbcl,P60,0.0031049265449999996,0.0055707997933333335
DTI,cbcl,P61,0.005869883735999966,0.005755085286666634
DTI,cbcl,P62,0.0020816788694333335,0.005542119376666667
DTI,cbcl,P63,-0.0050882229973333,0.005644544849999967
DTI,cbcl,P64,-0.004814805896166633,0.005499124203333267
DTI,cbcl,P65,-4.160626799999996e-05,0.0056036260633333
DTI,cbcl,P66,0.005925032213999933,0.005700299173333301
DTI,cbcl,P67,-0.0022232452602666667,0.005353163346666666
DTI,cbcl,P68,0.007156372959999966,0.00555606547
DTI,cbcl,P69,0.0023451660813333334,0.005669626119999966
DTI,cbcl,P7,0.0016634855986666667,0.005543098243333333
DTI,cbcl,P70,-0.003233431552666633,0.005620874566666666
DTI,cbcl,P71,-0.00019575495733333332,0.005649150139999966
DTI,cbcl,P72,0.0040763361355333335,0.005641259173333299
DTI,cbcl,P73,-0.005196459055333333,0.0056336505066666666
DTI,cbcl,P74,-0.0007535350386666667,0.005411814073333333
DTI,cbcl,P75,-0.003949468119999967,0.005723038889999934
