Data Type,Target,Feature,Mean_Gradient,Std_Gradient
DTI,pca1,F103,0.00475799454,0.006526074433333234
DTI,pca1,F104,-0.005203386348666667,0.006695370419999967
DTI,pca1,F105,-0.0021794804866666997,0.0066235106133333
DTI,pca1,F106,-0.0016565375922666667,0.00678894746
DTI,pca1,F107,0.009597297013333268,0.006713319519999966
DTI,pca1,F108,0.003119067849333334,0.0066812601066666664
DTI,pca1,F109,-0.0037062045666666336,0.006609881000000001
DTI,pca1,F11,0.009658637666666666,0.0069735889733332996
DTI,pca1,F110,-0.00243179099,0.006768241406666667
DTI,pca1,F111,-0.006557652647999966,0.006422698986666667
DTI,pca1,F112,0.00028378179066660005,0.006558297366666667
DTI,pca1,F113,0.0023961593346666665,0.006577588879999967
DTI,pca1,F114,0.006980911803999967,0.006460251439999967
DTI,pca1,F115,0.006858723753333333,0.0070071887
DTI,pca1,F116,-0.00414753016,0.00653507038
DTI,pca1,F117,-0.0004895619706666666,0.006643642993333333
DTI,pca1,F118,0.0036546769857999668,0.006666216279999967
DTI,pca1,F119,-0.000355808233,0.006628721946666666
DTI,pca1,F12,0.0028692749206666334,0.006483822813333334
DTI,pca1,F120,0.008585676453333335,0.006464913673333301
DTI,pca1,F121,0.0019830830513333335,0.0065625352866666665
DTI,pca1,F122,0.0024024010946666666,0.00658371408
DTI,pca1,F123,-0.00136249384,0.006751245839999966
DTI,pca1,F124,0.009883273013333334,0.0067333693333333005
DTI,pca1,F125,-0.0061747450733333,0.0066614125533333
DTI,pca1,F126,0.005232391502666667,0.00638130898
DTI,pca1,F127,-0.007136512406666667,0.006353804299999999
DTI,pca1,F128,0.010018852079999934,0.006524185666666667
DTI,pca1,F129,-0.013215231879999964,0.006920457166666633
DTI,pca1,F13,0.005256173081599967,0.006339408319999966
DTI,pca1,F130,-0.004854074185333333,0.006431548999999967
DTI,pca1,F131,-0.0013561511859999,0.00643204322
DTI,pca1,F132,0.004293934437333333,0.006804379926666666
DTI,pca1,F133,-0.007353516669999967,0.006611296659999999
DTI,pca1,F134,0.004048336906666667,0.006830169706666667
DTI,pca1,F135,-0.0038965080666666335,0.006930397399999966
DTI,pca1,F136,-0.0046066069481999995,0.006923037299999967
